"Rnk","Team","Gms","poss","seconds&nbsp ▲...5","seconds&nbsp ▲...6","points...7","points...8","%...9","seconds...10","seconds...11","points...12","points...13","%...14","seconds...15","seconds...16","points...17","points...18","%...19","seconds...20","seconds...21","points...22","points...23","Season","Year"
"13","UTA","82","7,861","15.3","13","1.08","8","54%","17.6","11","1.04","10","33%","13.0","20","1.06","16","11%","10.8","20","1.26","6",2009,2009
"14","PHI","82","7,554","15.4","14","1.06","20","54%","18.8","24","1.00","24","33%","11.8","5","1.08","8","10%","9.0","1","1.25","8",2009,2009
"15","DAL","82","7,675","15.6","15","1.09","6","53%","18.5","15","1.03","14","36%","12.5","14","1.11","3","9%","10.2","14","1.28","2",2009,2009
"16","LAC","82","7,744","15.7","16","1.01","29","55%","18.6","18","0.96","30","34%","12.3","11","1.04","25","9%","9.8","6","1.14","28",2009,2009
"17","BOS","82","7,603","15.7","17","1.09","5","51%","18.7","22","1.05","9","37%","12.8","18","1.05","18","10%","10.5","16","1.25","9",2009,2009
"18","ATL","82","7,481","15.7","18","1.08","10","53%","18.8","23","1.02","20","35%","12.4","12","1.09","6","9%","10.2","12","1.20","19",2009,2009
"19","MIN","82","7,690","15.8","19","1.04","24","55%","18.0","14","1.01","21","34%","13.3","22","1.04","23","8%","10.6","18","1.19","21",2009,2009
"20","WAS","82","7,610","15.9","20","1.04","26","55%","18.6","19","0.98","26","33%","12.8","17","1.06","15","9%","10.0","10","1.18","23",2009,2009
"21","MIA","82","7,600","15.9","21","1.06","19","53%","18.6","20","1.05","8","34%","13.1","21","1.02","29","10%","10.8","22","1.20","18",2009,2009
"22","NJN","82","7,556","16.0","22","1.06","16","54%","18.6","17","1.03","15","35%","13.0","19","1.05","19","9%","11.6","29","1.17","24",2009,2009
"23","MEM","82","7,571","16.1","23","1.02","28","54%","18.6","16","0.97","28","33%","13.6","23","1.02","27","10%","10.7","19","1.21","17",2009,2009
"24","HOU","82","7,582","16.1","24","1.06","17","52%","18.6","21","1.02","18","37%","13.9","27","1.07","13","8%","11.2","25","1.22","13",2009,2009
"25","SAS","82","7,448","16.4","25","1.07","12","52%","18.9","27","1.06","5","38%","13.8","26","1.05","22","8%","11.4","27","1.16","26",2009,2009
"26","CHA","82","7,452","16.5","26","1.03","27","54%","18.9","28","0.99","25","34%","14.0","28","1.02","28","9%","10.8","21","1.23","10",2009,2009
"27","NOH","82","7,357","16.6","27","1.07","13","53%","18.9","25","1.04","12","35%","14.4","30","1.05","21","9%","11.4","26","1.18","22",2009,2009
"28","POR","82","7,299","16.7","28","1.12","2","54%","18.9","26","1.06","6","35%","14.4","29","1.16","1","9%","12.3","30","1.28","3",2009,2009
"29","CLE","82","7,441","16.8","29","1.11","4","51%","20.0","29","1.06","4","37%","13.8","25","1.08","7","9%","11.1","24","1.26","4",2009,2009
"30","DET","82","7,328","17.0","30","1.05","21","53%","20.0","30","1.03","17","36%","13.7","24","1.04","24","8%","11.5","28","1.16","27",2009,2009
"1","GSW","82","8,375","13.4","1","1.07","14","56%","15.9","1","1.02","16","31%","10.4","1","1.06","17","11%","8.7","1","1.30","5",2010,2010
"2","IND","82","8,083","14.2","2","1.02","26","54%","16.2","3","0.98","26","35%","11.8","4","1.04","23","9%","10.6","22","1.12","30",2010,2010
"3","PHX","82","7,998","14.3","3","1.13","1","55%","16.2","2","1.09","1","35%","12.0","6","1.15","1","8%","10.1","12","1.21","16",2010,2010
"4","DEN","82","7,920","14.5","4","1.10","4","54%","17.1","6","1.06","5","34%","11.6","3","1.09","7","10%","9.6","6","1.22","15",2010,2010
"5","MIN","82","8,042","14.7","5","1.00","29","55%","16.7","5","0.97","29","34%","12.4","14","1.01","28","9%","9.8","9","1.18","21",2010,2010
"6","CHI","82","7,848","14.7","6","1.02","28","52%","17.1","7","0.98","27","37%","12.2","9","1.03","26","8%","10.3","15","1.15","27",2010,2010
"7","NYK","82","7,907","14.7","7","1.06","18","56%","16.6","4","1.02","13","33%","12.4","12","1.06","14","9%","11.2","27","1.17","22",2010,2010
"8","TOR","82","7,788","15.0","8","1.10","6","55%","17.2","8","1.07","3","34%","12.1","7","1.06","19","8%","10.6","21","1.33","1",2010,2010
"9","OKC","82","7,810","15.0","9","1.07","13","52%","17.8","12","1.02","15","35%","12.3","11","1.06","15","10%","9.4","4","1.32","3",2010,2010
"10","HOU","82","7,920","15.0","10","1.06","17","55%","17.3","9","1.02","14","34%","12.4","13","1.05","20","9%","10.4","16","1.28","10",2010,2010
"11","PHI","82","7,692","15.1","11","1.04","20","54%","18.5","22","0.99","19","33%","11.3","2","1.07","13","10%","9.3","3","1.20","19",2010,2010
"12","DAL","82","7,781","15.2","12","1.07","10","53%","18.0","13","1.03","12","35%","12.2","8","1.09","9","9%","9.8","8","1.20","20",2010,2010
"13","SAC","82","7,905","15.2","13","1.04","22","55%","18.2","18","0.98","23","34%","11.9","5","1.03","25","9%","8.9","2","1.33","2",2010,2010
"14","ORL","82","7,643","15.2","14","1.10","3","51%","17.7","11","1.07","2","38%","12.6","21","1.10","5","8%","11.1","26","1.15","25",2010,2010
"15","UTA","82","7,821","15.3","15","1.09","7","52%","18.0","14","1.04","8","35%","12.7","22","1.09","8","10%","9.7","7","1.30","4",2010,2010
"16","MEM","82","7,867","15.4","16","1.07","12","54%","18.2","17","1.00","17","34%","12.5","15","1.09","6","10%","9.6","5","1.28","11",2010,2010
"17","LAL","82","7,775","15.4","17","1.07","11","52%","18.4","21","1.05","7","37%","12.5","17","1.06","16","9%","10.2","14","1.20","17",2010,2010
"18","BOS","82","7,649","15.5","18","1.06","15","52%","18.3","20","1.04","9","34%","12.6","20","1.02","27","11%","10.5","17","1.14","28",2010,2010
"19","MIL","82","7,749","15.5","19","1.03","23","53%","17.7","10","1.00","18","35%","13.2","26","1.03","24","9%","10.8","24","1.16","23",2010,2010
"20","NOH","82","7,753","15.5","20","1.06","16","55%","18.1","15","0.98","24","33%","12.6","19","1.11","3","10%","10.2","13","1.28","8",2010,2010
"21","LAC","82","7,704","15.5","21","1.02","27","55%","18.3","19","0.97","28","35%","12.3","10","1.05","21","8%","9.8","11","1.14","29",2010,2010
"22","WAS","82","7,691","15.7","22","1.03","25","56%","18.1","16","0.98","25","34%","12.6","18","1.04","22","8%","11.0","25","1.16","24",2010,2010
"23","ATL","82","7,559","15.9","23","1.10","2","53%","19.0","27","1.04","10","34%","12.5","16","1.11","2","9%","9.8","10","1.28","9",2010,2010
"24","SAS","82","7,649","15.9","24","1.09","9","53%","18.5","23","1.04","11","37%","13.0","24","1.10","4","8%","11.6","29","1.24","12",2010,2010
"25","NJN","82","7,672","15.9","25","0.99","30","55%","18.7","24","0.94","30","33%","12.7","23","0.99","30","9%","10.6","20","1.15","26",2010,2010
"26","CHA","82","7,571","16.1","26","1.03","24","51%","19.2","29","0.99","20","35%","13.2","25","1.01","29","11%","10.5","18","1.23","14",2010,2010
"27","CLE","82","7,615","16.2","27","1.10","5","51%","19.1","28","1.05","6","37%","13.3","27","1.08","10","9%","10.7","23","1.28","7",2010,2010
"28","MIA","82","7,538","16.2","28","1.05","19","52%","19.0","25","0.99","21","36%","13.4","28","1.08","11","10%","11.5","28","1.20","18",2010,2010
"29","POR","82","7,374","16.7","29","1.09","8","54%","19.0","26","1.06","4","35%","14.3","30","1.08","12","9%","11.7","30","1.29","6",2010,2010
"30","DET","82","7,414","16.8","30","1.04","21","55%","19.8","30","0.99","22","33%","13.7","29","1.06","18","10%","10.5","19","1.24","13",2010,2010
"1","NYK","82","8,007","14.2","1","1.09","7","55%","16.1","2","1.05","5","33%","12.2","6","1.08","8","9%","9.7","8","1.21","14",2011,2011
"2","DEN","82","7,925","14.3","2","1.11","1","53%","17.0","5","1.08","1","36%","11.5","1","1.10","3","9%","9.3","3","1.22","11",2011,2011
"3","MIN","82","8,070","14.3","3","1.03","24","55%","16.1","1","0.99","20","34%","12.6","16","1.02","28","9%","9.9","10","1.20","20",2011,2011
"4","PHX","82","7,973","14.5","4","1.08","9","55%","16.3","3","1.03","8","34%","12.2","7","1.10","4","9%","10.8","19","1.13","30",2011,2011
"5","IND","82","7,919","14.6","5","1.03","23","53%","16.7","4","0.98","24","36%","12.6","15","1.05","18","9%","10.1","12","1.22","10",2011,2011
"6","GSW","82","7,954","14.8","6","1.07","14","55%","17.2","6","1.02","15","32%","12.1","5","1.06","16","10%","9.3","2","1.31","3",2011,2011
"7","OKC","82","7,877","14.9","7","1.09","6","52%","17.7","10","1.06","3","35%","12.3","9","1.07","12","10%","9.2","1","1.27","7",2011,2011
"8","SAC","82","7,983","14.9","8","1.02","26","55%","17.6","9","0.96","29","34%","12.0","3","1.03","26","9%","9.4","4","1.27","6",2011,2011
"9","TOR","82","7,759","15.1","9","1.05","20","55%","17.4","7","0.99","21","33%","12.3","11","1.08","10","9%","10.1","14","1.19","21",2011,2011
"10","WAS","82","7,904","15.1","10","1.01","28","55%","17.8","13","0.96","28","33%","12.0","4","1.02","29","10%","9.6","5","1.18","24",2011,2011
"11","CLE","82","7,765","15.1","11","1.01","29","55%","17.7","12","0.96","30","34%","11.8","2","1.05","20","9%","10.9","21","1.15","28",2011,2011
"12","ORL","82","7,625","15.2","12","1.07","12","51%","17.7","11","1.04","7","37%","12.5","13","1.05","19","9%","11.2","25","1.15","29",2011,2011
"13","HOU","82","7,933","15.2","13","1.09","4","55%","17.5","8","1.05","4","34%","12.7","18","1.08","9","9%","10.1","13","1.32","2",2011,2011
"14","LAC","82","7,749","15.4","14","1.04","22","54%","18.1","15","0.99","19","35%","12.5","14","1.04","23","9%","9.9","11","1.25","9",2011,2011
"15","MEM","82","7,687","15.4","15","1.07","13","53%","18.2","16","1.03","9","33%","12.8","21","1.04","21","12%","9.7","7","1.20","18",2011,2011
"16","PHI","82","7,741","15.5","16","1.05","17","52%","18.6","20","0.99","18","36%","12.2","8","1.06","17","9%","9.7","6","1.26","8",2011,2011
"17","SAS","82","7,731","15.5","17","1.10","2","53%","18.1","14","1.06","2","36%","12.8","22","1.09","6","9%","11.3","27","1.28","4",2011,2011
"18","DAL","82","7,605","15.6","18","1.08","8","52%","18.6","21","1.03","13","37%","12.4","12","1.10","5","9%","9.9","9","1.22","13",2011,2011
"19","MIA","82","7,611","15.7","19","1.10","3","51%","19.0","27","1.03","10","38%","12.3","10","1.11","2","9%","10.8","20","1.34","1",2011,2011
"20","BOS","82","7,547","15.7","20","1.05","18","50%","18.5","18","0.98","23","36%","13.2","25","1.08","11","11%","11.0","22","1.15","27",2011,2011
"21","CHI","82","7,566","15.7","21","1.07","10","51%","18.6","19","1.02","16","37%","13.0","23","1.09","7","9%","10.3","15","1.20","19",2011,2011
"22","LAL","82","7,625","15.8","22","1.09","5","52%","18.8","25","1.05","6","37%","12.7","19","1.11","1","9%","10.6","17","1.22","12",2011,2011
"23","UTA","82","7,660","15.9","23","1.06","15","55%","18.4","17","1.02","14","33%","13.0","24","1.07","14","9%","10.7","18","1.21","15",2011,2011
"24","MIL","82","7,527","16.2","24","1.00","30","53%","18.8","23","0.97","26","35%","13.7","28","0.98","30","10%","11.2","26","1.16","26",2011,2011
"25","CHA","82","7,478","16.2","25","1.02","25","53%","19.2","28","0.96","27","35%","12.8","20","1.04","25","9%","11.1","23","1.21","16",2011,2011
"26","NOH","82","7,430","16.2","26","1.05","19","52%","18.7","22","1.02","17","35%","13.8","29","1.04","22","10%","11.4","29","1.18","23",2011,2011
"27","ATL","82","7,447","16.3","27","1.05","21","54%","19.5","29","0.97","25","35%","12.6","17","1.06","15","8%","10.5","16","1.27","5",2011,2011
"28","NJN","82","7,597","16.4","28","1.02","27","55%","18.8","24","0.98","22","35%","13.5","27","1.02","27","7%","11.5","30","1.18","22",2011,2011
"29","POR","82","7,388","16.5","29","1.07","11","55%","18.9","26","1.03","11","33%","14.1","30","1.07","13","10%","11.3","28","1.16","25",2011,2011
"30","DET","82","7,472","16.7","30","1.06","16","56%","19.5","30","1.03","12","32%","13.4","26","1.04","24","10%","11.2","24","1.21","17",2011,2011
"1","DEN","66","6,380","14.5","1","1.08","2","52%","17.3","4","1.02","4","35%","11.4","1","1.08","2","10%","9.2","3","1.31","1",2012,2012
"2","MIL","66","6,297","14.6","2","1.04","12","53%","16.9","2","0.99","14","34%","12.2","5","1.02","21","10%","10.0","9","1.23","8",2012,2012
"3","OKC","66","6,325","14.7","3","1.08","3","51%","17.8","9","1.04","1","37%","11.7","3","1.06","9","10%","9.0","1","1.17","19",2012,2012
"4","NYK","66","6,279","14.8","4","1.03","17","51%","17.0","3","0.99","13","35%","12.7","12","1.03","20","11%","10.4","15","1.13","26",2012,2012
"5","SAC","65","6,271","14.9","5","1.02","20","54%","17.8","8","0.96","24","33%","11.6","2","1.05","11","10%","9.1","2","1.24","5",2012,2012
"6","PHX","65","6,111","15.0","6","1.05","9","53%","16.9","1","1.00","8","35%","12.7","13","1.07","4","9%","11.6","28","1.13","25",2012,2012
"7","WAS","66","6,208","15.0","7","1.00","25","53%","17.8","7","0.91","29","34%","11.8","4","1.04","17","10%","10.0","8","1.25","4",2012,2012
"8","GSW","66","6,229","15.2","8","1.04","13","54%","17.9","10","1.00","12","34%","12.4","9","1.06","8","10%","10.3","12","1.16","23",2012,2012
"9","MIN","66","6,300","15.3","9","1.03","18","53%","17.5","5","0.96","21","36%","13.0","20","1.07","3","8%","10.6","19","1.21","11",2012,2012
"10","MIA","66","6,195","15.3","10","1.05","6","50%","18.3","15","0.99","15","36%","12.4","6","1.04","15","11%","10.5","17","1.24","6",2012,2012
"11","SAS","65","6,160","15.3","11","1.09","1","52%","17.9","11","1.04","2","37%","12.7","11","1.12","1","9%","10.6","18","1.23","7",2012,2012
"12","HOU","66","6,254","15.4","12","1.04","15","53%","17.7","6","1.00","11","35%","13.0","21","1.03","19","10%","9.8","7","1.22","9",2012,2012
"13","BOS","66","6,089","15.4","13","1.00","24","51%","18.4","17","0.93","28","36%","12.4","7","1.02","23","10%","10.7","21","1.11","28",2012,2012
"14","CLE","65","6,086","15.5","14","0.99","27","54%","17.9","12","0.95","26","34%","12.7","15","1.02","22","9%","10.1","10","1.13","27",2012,2012
"15","MEM","66","6,144","15.5","15","1.02","21","51%","18.5","18","0.96","23","34%","12.7","16","1.01","26","12%","9.8","5","1.26","3",2012,2012
"16","DAL","65","6,128","15.5","16","1.02","22","50%","18.4","16","0.97","17","37%","13.0","19","0.99","27","11%","10.5","16","1.19","13",2012,2012
"17","PHI","65","5,948","15.6","17","1.02","19","50%","18.9","26","0.96","22","38%","12.4","8","1.03","18","10%","9.8","6","1.28","2",2012,2012
"18","IND","66","6,161","15.6","18","1.05","8","51%","18.3","14","1.01","6","36%","13.1","22","1.06","6","10%","10.4","14","1.11","29",2012,2012
"19","ATL","66","6,157","15.6","19","1.04","14","51%","18.6","21","0.99","16","36%","12.7","14","1.04","16","10%","10.3","11","1.19","14",2012,2012
"20","POR","66","6,163","15.7","20","1.04","10","53%","18.2","13","1.00","9","34%","13.1","23","1.05","13","10%","10.3","13","1.16","21",2012,2012
"21","UTA","65","6,179","15.8","21","1.05","7","52%","19.0","27","1.00","7","35%","12.9","18","1.05","12","10%","9.4","4","1.21","10",2012,2012
"22","CHI","66","6,017","15.9","22","1.06","5","49%","19.0","28","1.04","3","39%","13.1","24","1.05","14","9%","10.7","20","1.14","24",2012,2012
"23","LAL","66","6,176","16.1","23","1.04","11","51%","18.7","22","1.00","10","39%","13.5","26","1.06","5","8%","10.9","24","1.16","22",2012,2012
"24","ORL","66","6,010","16.1","24","1.03","16","52%","18.9","24","0.97","18","37%","13.1","25","1.06","7","9%","11.8","29","1.18","17",2012,2012
"25","NJN","66","6,065","16.2","25","1.01","23","54%","18.6","19","0.97","19","33%","13.8","28","1.02","24","10%","10.9","23","1.19","12",2012,2012
"26","CHA","66","6,097","16.3","26","0.94","30","55%","19.1","29","0.90","30","34%","12.8","17","0.95","30","9%","10.7","22","1.10","30",2012,2012
"27","LAC","65","5,928","16.3","27","1.07","4","52%","18.9","25","1.02","5","35%","13.7","27","1.05","10","11%","11.1","25","1.19","15",2012,2012
"28","DET","66","6,027","16.3","28","1.00","26","54%","19.3","30","0.95","25","34%","12.5","10","0.99","28","10%","11.9","30","1.16","20",2012,2012
"29","NOH","66","5,962","16.3","29","0.99","28","52%","18.6","20","0.93","27","36%","14.2","29","1.02","25","10%","11.5","27","1.18","16",2012,2012
"30","TOR","66","6,050","16.5","30","0.99","29","52%","18.8","23","0.96","20","36%","14.5","30","0.97","29","9%","11.4","26","1.18","18",2012,2012
"1","HOU","82","8,027","14.2","1","1.08","6","52%","16.7","1","1.04","6","35%","11.6","2","1.06","10","10%","9.2","2","1.27","2",2013,2013
"2","DEN","82","8,010","14.4","2","1.09","5","51%","17.3","5","1.04","7","35%","11.5","1","1.08","7","11%","8.8","1","1.29","1",2013,2013
"3","DAL","82","7,952","14.5","3","1.04","15","52%","17.0","3","0.99","16","36%","11.9","3","1.08","8","10%","10.1","12","1.17","18",2013,2013
"4","GSW","82","7,926","14.6","4","1.05","11","52%","17.0","2","0.99","13","37%","12.3","11","1.09","4","9%","9.7","9","1.09","30",2013,2013
"5","OKC","82","7,874","14.7","5","1.10","2","50%","17.7","11","1.05","2","37%","11.9","4","1.10","3","10%","9.4","4","1.27","3",2013,2013
"6","MIL","82","7,948","14.7","6","1.02","22","53%","17.3","6","0.97","20","34%","12.0","7","1.03","21","10%","9.6","7","1.17","22",2013,2013
"7","LAL","82","7,863","14.9","7","1.07","7","52%","17.1","4","1.04","5","37%","12.7","19","1.03","20","9%","10.4","18","1.20","17",2013,2013
"8","BOS","81","7,677","14.9","8","1.02","23","52%","17.7","8","0.96","26","36%","12.1","8","1.03","19","10%","10.3","13","1.17","21",2013,2013
"9","SAC","82","7,849","15.0","9","1.05","10","54%","17.8","12","0.99","15","33%","12.0","6","1.08","6","10%","9.4","5","1.22","11",2013,2013
"10","SAS","82","7,952","15.1","10","1.06","9","51%","17.7","9","1.03","8","37%","12.5","15","1.05","16","10%","10.4","17","1.21","15",2013,2013
"11","WAS","82","7,738","15.1","11","0.99","30","52%","17.7","10","0.92","30","36%","12.3","13","1.00","28","9%","10.3","14","1.16","25",2013,2013
"12","ATL","82","7,788","15.1","12","1.03","17","52%","18.2","15","0.98","17","36%","12.0","5","1.05","15","10%","9.3","3","1.17","20",2013,2013
"13","PHX","82","7,830","15.2","13","1.00","29","54%","17.9","13","0.97","23","33%","12.4","14","0.99","30","10%","9.8","10","1.10","29",2013,2013
"14","CLE","82","7,723","15.5","14","1.02","20","54%","17.6","7","0.97","22","33%","13.1","23","1.05","14","10%","10.4","19","1.17","23",2013,2013
"15","PHI","82","7,601","15.5","15","1.01","26","52%","18.1","14","0.96","25","35%","12.6","17","1.00","27","10%","10.5","21","1.23","9",2013,2013
"16","ORL","82","7,693","15.5","16","1.00","27","53%","18.2","16","0.97","24","36%","12.5","16","1.01","26","9%","10.8","24","1.17","24",2013,2013
"17","LAC","82","7,595","15.5","17","1.09","3","50%","18.7","22","1.05","3","35%","12.8","21","1.06","11","12%","9.6","8","1.25","6",2013,2013
"18","MIN","82","7,748","15.6","18","1.01","25","53%","18.3","18","0.96","27","34%","12.8","20","0.99","29","10%","9.6","6","1.26","4",2013,2013
"19","MIA","82","7,617","15.6","19","1.11","1","51%","18.8","25","1.06","1","35%","12.2","9","1.11","1","11%","10.3","15","1.22","12",2013,2013
"20","CHA","82","7,667","15.6","20","1.00","28","54%","18.3","17","0.94","29","34%","12.3","12","1.06","12","10%","10.9","25","1.14","27",2013,2013
"21","DET","82","7,602","15.7","21","1.02","21","54%","18.9","26","0.95","28","35%","12.2","10","1.07","9","9%","9.8","11","1.15","26",2013,2013
"22","POR","82","7,666","15.8","22","1.04","14","54%","18.5","21","1.00","12","35%","12.7","18","1.04","18","9%","10.4","16","1.23","8",2013,2013
"23","IND","81","7,487","16.0","23","1.02","19","50%","18.7","23","0.97","21","38%","13.4","24","1.05","17","9%","10.6","22","1.17","19",2013,2013
"24","UTA","82","7,681","16.0","24","1.05","12","52%","19.0","27","1.01","10","34%","13.0","22","1.02","24","11%","10.5","20","1.21","13",2013,2013
"25","TOR","82","7,636","16.1","25","1.04","13","54%","18.4","19","1.01","11","34%","13.6","26","1.02","22","10%","11.0","27","1.24","7",2013,2013
"26","NYK","82","7,511","16.1","26","1.09","4","52%","18.5","20","1.05","4","35%","13.9","28","1.10","2","11%","11.4","28","1.22","10",2013,2013
"27","NOH","82","7,428","16.3","27","1.04","16","54%","18.8","24","0.98","18","34%","13.5","25","1.09","5","9%","11.8","30","1.21","16",2013,2013
"28","MEM","82","7,449","16.4","28","1.03","18","51%","19.4","30","0.99","14","35%","13.8","27","1.02","23","11%","10.6","23","1.21","14",2013,2013
"29","CHI","82","7,511","16.5","29","1.02","24","52%","19.2","29","0.98","19","36%","14.0","29","1.01","25","10%","10.9","26","1.14","28",2013,2013
"30","BKN","82","7,460","16.6","30","1.06","8","53%","19.0","28","1.02","9","35%","14.1","30","1.06","13","10%","11.4","29","1.26","5",2013,2013
"1","PHI","82","8,287","13.7","1","0.98","30","54%","16.3","2","0.94","29","33%","10.8","1","0.98","30","11%","9.2","6","1.18","17",2014,2014
"2","LAL","82","8,208","14.0","2","1.03","22","54%","15.8","1","0.99","22","34%","11.9","7","1.02","27","9%","9.6","9","1.25","5",2014,2014
"3","DEN","82","8,191","14.0","3","1.04","17","53%","16.4","4","1.00","15","35%","11.3","2","1.06","13","9%","9.0","1","1.21","13",2014,2014
"4","LAC","82","7,990","14.1","4","1.11","1","51%","16.8","5","1.05","2","36%","11.6","4","1.07","10","11%","9.2","4","1.33","1",2014,2014
"5","GSW","82","8,093","14.2","5","1.06","12","51%","16.4","3","1.04","7","37%","12.1","11","1.04","20","9%","9.7","10","1.17","22",2014,2014
"6","HOU","82","8,084","14.2","6","1.09","4","52%","16.8","6","1.03","11","37%","11.6","3","1.12","1","9%","9.2","5","1.23","7",2014,2014
"7","OKC","82","8,037","14.3","7","1.08","7","50%","17.0","8","1.05","4","37%","11.8","6","1.05","16","10%","9.3","7","1.24","6",2014,2014
"8","MIN","82","8,174","14.6","8","1.07","10","53%","17.3","10","1.04","6","34%","12.0","10","1.08","8","11%","9.2","3","1.17","21",2014,2014
"9","PHX","82","8,015","14.7","9","1.08","8","53%","17.4","11","1.02","12","35%","11.7","5","1.10","4","10%","9.6","8","1.19","16",2014,2014
"10","ATL","82","7,952","14.7","10","1.04","20","53%","17.0","7","1.00","16","35%","12.4","13","1.05","19","10%","10.4","20","1.18","18",2014,2014
"11","SAS","82","7,919","14.9","11","1.09","6","51%","17.2","9","1.04","5","37%","12.6","18","1.09","6","9%","10.2","15","1.30","2",2014,2014
"12","DET","82","7,913","15.0","12","1.05","16","53%","17.9","17","1.01","13","34%","11.9","8","1.02","26","11%","9.0","2","1.27","3",2014,2014
"13","WAS","82","7,918","15.1","13","1.04","19","53%","17.6","13","0.99","24","34%","12.5","15","1.06","14","10%","10.1","12","1.22","10",2014,2014
"14","POR","82","7,956","15.2","14","1.10","2","53%","18.0","20","1.05","3","37%","11.9","9","1.11","3","7%","10.2","13","1.26","4",2014,2014
"15","CLE","82","7,834","15.2","15","1.03","23","52%","17.6","14","0.99","19","36%","12.7","20","1.04","23","9%","10.7","23","1.12","28",2014,2014
"16","DAL","82","7,877","15.3","16","1.09","5","53%","17.5","12","1.06","1","34%","13.0","22","1.09","5","11%","10.3","18","1.13","27",2014,2014
"17","ORL","82","7,882","15.3","17","1.00","29","52%","18.0","18","0.97","26","36%","12.6","17","1.02","29","10%","10.5","21","1.09","30",2014,2014
"18","BOS","82","7,801","15.4","18","1.01","27","54%","17.8","15","0.96","28","35%","12.5","16","1.04","22","9%","10.3","17","1.15","23",2014,2014
"19","MIA","82","7,660","15.4","19","1.09","3","52%","18.5","26","1.03","9","33%","12.2","12","1.11","2","12%","10.2","14","1.23","9",2014,2014
"20","SAC","82","7,887","15.4","20","1.04","18","53%","18.2","23","1.00","18","36%","12.5","14","1.08","9","9%","10.0","11","1.14","25",2014,2014
"21","NOP","82","7,747","15.5","21","1.06","13","54%","18.0","19","1.01","14","34%","12.7","19","1.07","12","10%","10.8","24","1.20","14",2014,2014
"22","BKN","82","7,715","15.6","22","1.05","15","53%","17.9","16","0.99","20","33%","13.2","24","1.06","15","11%","11.3","30","1.18","20",2014,2014
"23","MIL","82","7,723","15.7","23","1.01","26","55%","18.1","21","0.94","30","34%","12.8","21","1.07","11","9%","10.3","19","1.21","11",2014,2014
"24","CHA","82","7,750","15.7","24","1.02","24","52%","18.1","22","0.99","23","38%","13.3","25","1.02","24","8%","10.8","26","1.19","15",2014,2014
"25","IND","82","7,705","15.7","25","1.03","21","50%","18.3","24","0.99","21","39%","13.5","26","1.02","25","9%","10.9","27","1.14","26",2014,2014
"26","TOR","82","7,740","15.9","26","1.07","9","53%","18.5","25","1.03","10","35%","13.1","23","1.08","7","9%","11.1","29","1.21","12",2014,2014
"27","NYK","82","7,601","16.0","27","1.06","11","53%","18.6","27","1.03","8","34%","13.5","27","1.05","18","10%","10.6","22","1.18","19",2014,2014
"28","CHI","82","7,597","16.2","28","1.01","28","50%","18.9","29","0.97","27","37%","13.8","30","1.02","28","10%","10.8","25","1.09","29",2014,2014
"29","UTA","82","7,629","16.2","29","1.02","25","54%","18.9","28","0.97","25","35%","13.6","28","1.05","17","9%","10.3","16","1.14","24",2014,2014
"30","MEM","82","7,516","16.4","30","1.05","14","52%","19.0","30","1.00","17","36%","13.8","29","1.04","21","10%","11.0","28","1.23","8",2014,2014
"1","GSW","82","8,205","13.5","1","1.10","2","50%","15.7","1","1.06","4","37%","11.4","1","1.10","3","11%","9.4","4","1.25","5",2015,2015
"2","BOS","82","8,048","14.3","2","1.03","19","52%","16.6","2","1.00","16","36%","12.0","8","1.04","17","10%","9.7","9","1.17","19",2015,2015
"3","PHX","82","8,101","14.4","3","1.04","17","52%","17.2","7","0.99","18","35%","11.6","2","1.02","23","10%","9.4","3","1.26","4",2015,2015
"4","OKC","82","8,067","14.5","4","1.06","10","51%","17.3","10","1.02","9","38%","11.7","4","1.05","12","9%","9.7","8","1.19","18",2015,2015
"5","HOU","82","8,071","14.5","5","1.06","12","51%","17.3","11","0.99","19","35%","11.8","5","1.07","8","12%","9.7","6","1.23","9",2015,2015
"6","MIL","82","7,924","14.5","6","1.01","25","51%","17.1","6","0.96","27","35%","12.3","10","1.02","22","12%","9.7","7","1.17","21",2015,2015
"7","DEN","82","8,046","14.6","7","1.03","18","54%","17.1","4","0.99","17","35%","11.7","3","1.01","25","10%","9.1","1","1.27","1",2015,2015
"8","LAC","82","7,882","14.6","8","1.11","1","51%","17.1","5","1.08","2","37%","12.2","9","1.12","2","10%","10.3","15","1.16","24",2015,2015
"9","DAL","82","8,014","14.7","9","1.08","5","53%","17.0","3","1.06","3","34%","12.3","12","1.05","14","10%","9.8","10","1.22","10",2015,2015
"10","PHI","82","8,000","14.9","10","0.94","30","52%","17.2","8","0.90","30","34%","12.6","15","0.96","30","12%","10.6","19","1.09","30",2015,2015
"11","SAC","82","8,014","14.9","11","1.04","16","52%","17.7","14","0.98","23","37%","12.0","7","1.05","10","8%","9.5","5","1.26","2",2015,2015
"12","ORL","82","7,813","14.9","12","1.00","27","52%","17.2","9","0.97","25","35%","12.8","19","1.01","27","10%","10.4","16","1.20","17",2015,2015
"13","ATL","82","7,811","14.9","13","1.08","6","51%","17.3","12","1.04","7","36%","12.9","21","1.07","7","11%","10.2","13","1.21","13",2015,2015
"14","MIN","82","7,918","15.0","14","1.01","26","55%","17.8","16","0.96","26","33%","12.0","6","1.01","26","10%","9.4","2","1.25","6",2015,2015
