"TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","PTS","PLUS_MINUS","Season"
"1610612753","Orlando Magic","82","43","39","0.524","3991","3013","6873","0.438","490","1346","0.364","1476","2068","0.714","7992","81","2000-01"
"1610612755","Philadelphia 76ers","82","56","26","0.683","3970.61333333333","2902","6487","0.447","262","803","0.326","1697","2277","0.745","7763","351","2000-01"
"1610612756","Phoenix Suns","82","51","31","0.622","3961","2944","6757","0.436","332","1054","0.315","1490","1973","0.755","7710","181","2000-01"
"1610612757","Portland Trail Blazers","82","50","32","0.61","3955.65","3004","6417","0.468","369","1057","0.349","1447","1899","0.762","7824","344","2000-01"
"1610612758","Sacramento Kings","82","55","27","0.671","4016","3132","6969","0.449","479","1353","0.354","1600","2075","0.771","8343","477","2000-01"
"1610612759","San Antonio Spurs","82","58","24","0.707","3966","2884","6262","0.461","445","1094","0.407","1673","2340","0.715","7886","636","2000-01"
"1610612760","Seattle SuperSonics","82","44","38","0.537","3961","3029","6649","0.456","466","1169","0.399","1454","1986","0.732","7978","2","2000-01"
"1610612761","Toronto Raptors","82","47","35","0.573","3991","3048","6972","0.437","429","1164","0.369","1482","1985","0.747","8007","185","2000-01"
"1610612762","Utah Jazz","82","53","29","0.646","3956","2960","6289","0.471","325","852","0.381","1714","2280","0.752","7959","385","2000-01"
"1610612763","Vancouver Grizzlies","82","23","59","0.28","3956","2870","6539","0.439","325","947","0.343","1457","1892","0.77","7522","-470","2000-01"
"1610612764","Washington Wizards","82","19","63","0.232","3935.89833333333","2833","6453","0.439","275","848","0.324","1704","2245","0.759","7645","-547","2000-01"
"1610612737","Atlanta Hawks","82","33","49","0.402","3956","2901","6610","0.439","423","1194","0.354","1486","1942","0.765","7711","-347","2001-02"
"1610612738","Boston Celtics","82","49","33","0.598","3966","2852","6731","0.424","699","1946","0.359","1498","1960","0.764","7901","181","2001-02"
"1610612766","Charlotte Hornets","82","44","38","0.537","3951","2893","6580","0.44","346","994","0.348","1568","2105","0.745","7700","79","2001-02"
"1610612741","Chicago Bulls","82","21","61","0.256","3961","2811","6491","0.433","300","868","0.346","1413","1958","0.722","7335","-700","2001-02"
"1610612739","Cleveland Cavaliers","82","29","53","0.354","3971","2948","6582","0.448","387","1026","0.377","1529","1980","0.772","7812","-273","2001-02"
"1610612742","Dallas Mavericks","82","57","25","0.695","3975.94","3200","6930","0.462","621","1645","0.378","1608","1994","0.806","8629","349","2001-02"
"1610612743","Denver Nuggets","82","27","55","0.329","3961","2915","6870","0.424","423","1285","0.329","1306","1756","0.744","7559","-477","2001-02"
"1610612765","Detroit Pistons","82","50","32","0.61","3936","2845","6301","0.452","567","1509","0.376","1478","1954","0.756","7735","175","2001-02"
"1610612744","Golden State Warriors","82","21","61","0.256","3956","2998","6989","0.429","320","994","0.322","1693","2344","0.722","8009","-443","2001-02"
"1610612745","Houston Rockets","82","28","54","0.341","3996","2837","6629","0.428","496","1480","0.335","1402","1893","0.741","7572","-401","2001-02"
"1610612754","Indiana Pacers","82","42","40","0.512","3981","2935","6580","0.446","405","1195","0.339","1663","2155","0.772","7938","22","2001-02"
"1610612746","Los Angeles Clippers","82","39","43","0.476","3961","2970","6668","0.445","408","1147","0.356","1498","2026","0.739","7846","-38","2001-02"
"1610612747","Los Angeles Lakers","82","58","24","0.707","3956","3150","6840","0.461","510","1439","0.354","1494","2138","0.699","8304","584","2001-02"
"1610612763","Memphis Grizzlies","82","23","59","0.28","3956","2851","6535","0.436","336","1096","0.307","1334","1883","0.708","7372","-610","2001-02"
