"X","TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","OFF_RATING","PACE","POSS","Season"
146,1610612737,"Atlanta Hawks",82,33,49,0.402,3956,100.4,93.21,7678,"2001-02"
147,1610612738,"Boston Celtics",82,49,33,0.598,3966,102.1,93.6,7738,"2001-02"
148,1610612766,"Charlotte Hornets",82,44,38,0.537,3951,102.9,90.93,7480,"2001-02"
149,1610612741,"Chicago Bulls",82,21,61,0.256,3961,97.2,91.56,7549,"2001-02"
150,1610612739,"Cleveland Cavaliers",82,29,53,0.354,3971,103.4,91.31,7553,"2001-02"
151,1610612742,"Dallas Mavericks",82,57,25,0.695,3976,110.3,94.36,7823,"2001-02"
152,1610612743,"Denver Nuggets",82,27,55,0.329,3961,100.3,91.35,7537,"2001-02"
153,1610612765,"Detroit Pistons",82,50,32,0.61,3936,103.2,91.38,7495,"2001-02"
154,1610612744,"Golden State Warriors",82,21,61,0.256,3956,101.5,95.75,7890,"2001-02"
155,1610612745,"Houston Rockets",82,28,54,0.341,3996,101.6,89.56,7456,"2001-02"
156,1610612754,"Indiana Pacers",82,42,40,0.512,3981,102.8,93.13,7721,"2001-02"
157,1610612746,"Los Angeles Clippers",82,39,43,0.476,3961,104.3,91.21,7524,"2001-02"
158,1610612747,"Los Angeles Lakers",82,58,24,0.707,3956,108,93.32,7691,"2001-02"
159,1610612763,"Memphis Grizzlies",82,23,59,0.28,3956,96.6,92.55,7629,"2001-02"
160,1610612748,"Miami Heat",82,36,46,0.439,3986,97.3,88.47,7346,"2001-02"
161,1610612749,"Milwaukee Bucks",82,41,41,0.5,3981,105.3,91.51,7591,"2001-02"
162,1610612750,"Minnesota Timberwolves",82,50,32,0.61,3961,107.5,91.72,7578,"2001-02"
163,1610612751,"New Jersey Nets",82,52,30,0.634,3966,102.4,93.2,7707,"2001-02"
164,1610612752,"New York Knicks",82,30,52,0.366,3961,100.4,90.78,7487,"2001-02"
165,1610612753,"Orlando Magic",82,44,38,0.537,3966,105.6,94.4,7805,"2001-02"
166,1610612755,"Philadelphia 76ers",82,43,39,0.524,3946,100.5,90.32,7424,"2001-02"
167,1610612756,"Phoenix Suns",82,36,46,0.439,3966,101.8,92.74,7663,"2001-02"
168,1610612757,"Portland Trail Blazers",82,49,33,0.598,3966,105.9,90.55,7482,"2001-02"
169,1610612758,"Sacramento Kings",82,61,21,0.744,3951,107.9,96.74,7951,"2001-02"
170,1610612759,"San Antonio Spurs",82,58,24,0.707,3971,105.4,91.06,7528,"2001-02"
171,1610612760,"Seattle SuperSonics",82,45,37,0.549,3966,107.3,90.35,7468,"2001-02"
172,1610612761,"Toronto Raptors",82,42,40,0.512,3951,101.1,90.02,7414,"2001-02"
173,1610612762,"Utah Jazz",82,44,38,0.537,3966,103.8,91.75,7582,"2001-02"
174,1610612764,"Washington Wizards",82,37,45,0.451,3946,102.9,89.93,7395,"2001-02"
175,1610612737,"Atlanta Hawks",82,35,47,0.427,3981,100.4,92.63,7683,"2002-03"
176,1610612738,"Boston Celtics",82,44,38,0.537,3966,100,91.95,7602,"2002-03"
177,1610612741,"Chicago Bulls",82,30,52,0.366,3985,99.1,94.76,7857,"2002-03"
178,1610612739,"Cleveland Cavaliers",82,17,65,0.207,3966,95.2,95.32,7870,"2002-03"
179,1610612742,"Dallas Mavericks",82,60,22,0.732,3956,109.3,93.75,7726,"2002-03"
180,1610612743,"Denver Nuggets",82,17,65,0.207,3946,91.2,92.11,7568,"2002-03"
181,1610612765,"Detroit Pistons",82,50,32,0.61,3981,102.4,88.26,7318,"2002-03"
182,1610612744,"Golden State Warriors",82,38,44,0.463,3951,106.4,95.88,7897,"2002-03"
183,1610612745,"Houston Rockets",82,43,39,0.524,3986,102.4,90.36,7508,"2002-03"
184,1610612754,"Indiana Pacers",82,48,34,0.585,3981,103.2,92.71,7696,"2002-03"
185,1610612746,"Los Angeles Clippers",82,27,55,0.329,3951,101.1,92.68,7613,"2002-03"
186,1610612747,"Los Angeles Lakers",82,50,32,0.61,3986,105.6,93.78,7797,"2002-03"
187,1610612763,"Memphis Grizzlies",82,28,54,0.341,3986,102.3,94.03,7813,"2002-03"
188,1610612748,"Miami Heat",82,25,57,0.305,3966,95.4,88.93,7353,"2002-03"
189,1610612749,"Milwaukee Bucks",82,42,40,0.512,3981,107.2,91.76,7607,"2002-03"
190,1610612750,"Minnesota Timberwolves",82,51,31,0.622,3961,104.8,93.08,7681,"2002-03"
191,1610612751,"New Jersey Nets",82,49,33,0.598,3951,102.1,93,7661,"2002-03"
192,1610612740,"New Orleans Hornets",82,47,35,0.573,3981,102.4,90.72,7522,"2002-03"
193,1610612752,"New York Knicks",82,37,45,0.451,3971,103.3,92.06,7611,"2002-03"
194,1610612753,"Orlando Magic",82,42,40,0.512,3961,103.7,94.33,7788,"2002-03"
195,1610612755,"Philadelphia 76ers",82,48,34,0.585,3971,103.2,93.07,7694,"2002-03"
196,1610612756,"Phoenix Suns",82,44,38,0.537,3961,102.6,92.59,7637,"2002-03"
197,1610612757,"Portland Trail Blazers",82,50,32,0.61,3970,104.2,90.44,7486,"2002-03"
198,1610612758,"Sacramento Kings",82,59,23,0.72,3966,104.4,96.63,7987,"2002-03"
